,RegName,Rajon,NSettlemen,Broi_Lica,Broi_Jil,Male,Female,Age0_14,Age15_24,Age25_34,Age35_44,Age45_54,Age55_64,AgeOver65,Educ1,Educ2,Educ3,Educ4,Educ5,Area_m2,X,Y,geometry,centroid,subway_distance,subway_station_index,subway_station_name,travel_time,travel_time_in_hours,log_subway_distance,walking_time_to_subway_station,total_travel_time,total_travel_time_log,total_travel_time_in_minutes,category_travel_1
0,Зона за отдих Шишмановски манастир,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652042.896044,716220.394138,4701658.88991,"POLYGON ((23.61444963639586 42.43907487722348, 23.61400253332175 42.43930699124301, 23.61392381834452 42.43983652089439, 23.617601811692 42.4396989459921, 23.62107770957721 42.43960850917731, 23.62753741107994 42.4397557273865, 23.6298084411814 42.43991240787489, 23.6314903571143 42.43965700318953, 23.63389287105483 42.43927286079986, 23.63566139940147 42.4388287430783, 23.63650582830387 42.43927514357165, 23.63639412579674 42.43997256907892, 23.63651851706016 42.44011088033142, 23.63739198240715 42.4398017919053, 23.63855080625866 42.43945209163395, 23.63764231538146 42.43870976168458, 23.6370410599894 42.43830772085033, 23.63470028421164 42.43836521987437, 23.63427917588208 42.43762784247869, 23.63467290745658 42.43652296394997, 23.63457832498406 42.43650232428083, 23.63468347814607 42.43642523104577, 23.63429198368125 42.43321524464078, 23.63329915081021 42.43324908538434, 23.62782141286125 42.43306459111095, 23.62696901523831 42.43347675351644, 23.62602387486783 42.43337717894598, 23.62544515950857 42.43364338910296, 23.62639099006851 42.43416068376329, 23.62729906261118 42.4349624167398, 23.62648743998423 42.43681340862017, 23.62640929412879 42.43679656916434, 23.62502068850016 42.43680933709264, 23.62458163436549 42.43730492907967, 23.62421289400431 42.43796495461561, 23.62368395231904 42.43825265446517, 23.62273962129077 42.43808103525004, 23.62159830012486 42.43806231392955, 23.62001418007105 42.43888116038237, 23.61946488716164 42.43907618252475, 23.6185671366651 42.43869141644576, 23.61785618723005 42.43865673797518, 23.61716055689339 42.43889515035667, 23.61639638536009 42.4391647030264, 23.61545812074573 42.43916863776607, 23.61507782868072 42.43885282101047, 23.61444963639586 42.43907487722348))",POINT (23.62878596721437 42.43711629234818),33.95974228749633,15,Цариградско шосе,14,0.23333333333333334,3.5251757727069415,8.489935571874083,8.723268905207416,2.1659940421234087,523.3961343124449,9
1,в.з. Татарски брод,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472283.522847,709933.138737,4701577.64692,"POLYGON ((23.54344794040258 42.43635256319397, 23.54460648841802 42.43682798592607, 23.54584512119281 42.43730686396292, 23.54686603501503 42.43725363633104, 23.548938052092 42.43751367248083, 23.55285911883711 42.43943930614979, 23.55426989671625 42.44006550144142, 23.55452861953731 42.4405869342366, 23.55613451815752 42.4417330500065, 23.55776523431626 42.44239523389177, 23.55920214353215 42.44426300369687, 23.55960139438191 42.44361679965868, 23.55912420712282 42.44307255328084, 23.55932712712421 42.44229326978943, 23.55952127288704 42.441560120587, 23.56029052437855 42.4411303552893, 23.56064099507737 42.440841997527, 23.56158046661757 42.43999233296049, 23.56183263192121 42.43962959620523, 23.56112649408227 42.43948867024295, 23.56028163340457 42.43935468206611, 23.55978978467327 42.43898613146948, 23.5585819314814 42.43909069927561, 23.55765517482448 42.43942355840971, 23.55721843246738 42.43891152894084, 23.55669448260407 42.43742401829786, 23.55553763721065 42.43670962087693, 23.55439276794533 42.4366949261425, 23.5478416445446 42.4368063662079, 23.54728110098378 42.43606514936472, 23.54720139751868 42.43514802799694, 23.54637737671192 42.43454530710031, 23.54641969062087 42.43403521603387, 23.54552476049881 42.43325801203061, 23.54512949126472 42.43348574095612, 23.54426255398917 42.43416946332851, 23.5434406172503 42.43429009594731, 23.5412208400254 42.43205853634348, 23.54077324792697 42.43216081802247, 23.54194472182872 42.43457481411077, 23.54286323076484 42.43487861165183, 23.54318313954158 42.43551068442898, 23.54344794040258 42.43635256319397))",POINT (23.55239170096313 42.43811232891493),27.837362291586363,32,Бизнес парк,16,0.26666666666666666,3.3263790857041236,6.959340572896591,7.226007239563257,1.9776866346019542,433.56043437379543,9
2,"Панчарево, в.з.Лавандулите",Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452832.585534,711336.648877,4702378.7563,"POLYGON ((23.56776269927294 42.4379242037833, 23.56851688204499 42.43949814044253, 23.56938839477201 42.44034187472362, 23.56915717856953 42.4413956241215, 23.56870411593666 42.44233280808445, 23.56844631844225 42.44343419161394, 23.56789987441832 42.44447502082951, 23.56693069050828 42.44537148357743, 23.56800429311104 42.44633797098818, 23.56779574888535 42.4467531402293, 23.56956185613353 42.44653583358269, 23.56782677797312 42.44884121858146, 23.56606161394763 42.44964796367687, 23.56410163877672 42.44970031771135, 23.56257717436546 42.4493385746486, 23.56244491726184 42.44947895929374, 23.56188377957352 42.44965696148971, 23.56075079757339 42.44989111300873, 23.56085611833566 42.45023306655668, 23.56169060807719 42.45058572371956, 23.56195503542832 42.45047609299023, 23.56336004360627 42.4501939001495, 23.56434628898644 42.45048931873202, 23.56536462074034 42.4509980283701, 23.56628418570473 42.45114661949319, 23.56748756516922 42.45062748180813, 23.56839865086344 42.4498305007504, 23.57117035067108 42.44716427152192, 23.57189630496029 42.44671190429897, 23.57316347024417 42.44599813178407, 23.57453384835692 42.44549349237201, 23.57513084981187 42.44458204345278, 23.57460636857427 42.44367236396413, 23.57423726210165 42.4430092564657, 23.57336474946596 42.44258587864829, 23.57231188933395 42.44221430883788, 23.57178500610745 42.44144254960229, 23.5706850364778 42.43949671297233, 23.56963779871711 42.43809724148181, 23.56776269927294 42.4379242037833))",POINT (23.56973332797197 42.44493892852721),28.621287124913383,15,Цариградско шосе,14,0.23333333333333334,3.3541507460350615,7.155321781228346,7.388655114561679,1.999945731194327,443.3193068737007,9
3,Манастир Св. Илия,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140829.528662,715154.742684,4706242.95756,"POLYGON ((23.6144678311679 42.47922548848631, 23.61540223781574 42.48032462117864, 23.61573305576532 42.4802478542854, 23.61645697957346 42.48046582354105, 23.61675211160494 42.48067197161407, 23.61731202318347 42.48050586417653, 23.61907524930505 42.4799924474938, 23.62020088670998 42.47968009574515, 23.61978927662687 42.47908484948924, 23.61959786019255 42.47781461211414, 23.61993681472582 42.47672770307813, 23.62005559241872 42.47638609632593, 23.61768204077595 42.47671852265601, 23.61622149706271 42.47757688229206, 23.61524203813988 42.47832942999324, 23.6144678311679 42.47922548848631))",POINT (23.61756136375977 42.47865337527671),30.397629526284284,15,Цариградско шосе,14,0.23333333333333334,3.4143646292628116,7.599407381571071,7.832740714904404,2.0583124762036804,469.96444289426427,9
4,"Панчарево, в.з. Щъркелово гнездо",Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055967.5244,709588.733528,4704445.84597,"POLYGON ((23.5503287502318 42.47313372204871, 23.54968784119427 42.47175180832713, 23.5500299808197 42.47076537637759, 23.55068351554407 42.46968341588274, 23.55107641413332 42.46871238116165, 23.55187675712597 42.46792234620047, 23.55361730809347 42.4664739710651, 23.55410170935499 42.46563493723509, 23.55546749133452 42.46414114820593, 23.55685499394504 42.46243273072287, 23.55735114812377 42.46051936952495, 23.55878201757936 42.4586101498234, 23.5597485317482 42.45652403664852, 23.55976895268519 42.45488837754228, 23.55735970590594 42.45171820094022, 23.55611816004854 42.45063357429745, 23.55531161646039 42.44992502874742, 23.55402885894762 42.45000225174459, 23.55297562168511 42.44950574069749, 23.5534526839038 42.45032966828818, 23.55462347510711 42.45088723251572, 23.55616640551336 42.45165954864897, 23.55650848352981 42.45283143102107, 23.5563980779229 42.45343737569828, 23.55487269966486 42.45412070455638, 23.55378815985331 42.45429717812157, 23.55385608615128 42.45483398579859, 23.55480457618382 42.45605496879569, 23.55491495664106 42.45700289885075, 23.554370558115 42.45748331816674, 23.55295973408097 42.45694911055399, 23.5511114445117 42.45761269805667, 23.54896803546165 42.45816344700334, 23.54742121370394 42.45850414097583, 23.54647721553199 42.4588868945653, 23.5461335645984 42.46002821254545, 23.54530859819258 42.46108643319933, 23.54394169726583 42.46159576780634, 23.54257337373184 42.46134969749141, 23.54115251987173 42.46114773764612, 23.5399926820795 42.46196542640211, 23.53818406264793 42.46257276824094, 23.53820481215051 42.46290922264873, 23.53822923374308 42.46317707680433, 23.53820394166501 42.46320091310312, 23.53823483991559 42.46337275758698, 23.53912795440809 42.46344906822329, 23.53860430504495 42.46452545398161, 23.53897183652212 42.46565933975785, 23.54030613335904 42.46621373854325, 23.54111119996229 42.46749754507927, 23.54204585516354 42.46986115676824, 23.54165695516262 42.47029955379093, 23.54105542753429 42.47141470977027, 23.54116021136225 42.47213747791699, 23.5427607830411 42.47231670231242, 23.54397818312407 42.47244640063173, 23.54567533108992 42.47245609132705, 23.54678171555754 42.4725859513798, 23.54758592098627 42.47343305570625, 23.54805255702946 42.47379186418927, 23.5487637921711 42.47476443353785, 23.54848546676341 42.47581367139345, 23.54801249494118 42.47681840370797, 23.54777625799056 42.47748833064252, 23.54811377119779 42.47795787170771, 23.54749469157288 42.47852537577274, 23.54679509470802 42.47894033069412, 23.54684349960123 42.47941323536625, 23.54854003184537 42.47968773122204, 23.54942830467479 42.47935047592508, 23.54961387927841 42.47890999747232, 23.54992135167241 42.47778311492453, 23.54910839904308 42.47689499557487, 23.54971325398176 42.47523381834583, 23.55028677003654 42.47397194963402, 23.5503287502318 42.47313372204871))",POINT (23.5492544643502 42.46401121325044),25.647811847623455,15,Цариградско шосе,14,0.23333333333333334,3.244458259892981,6.411952961905864,6.645286295239197,1.893907775546993,398.7171777143518,9
