FID;RegName;Rajon;NSettlemen;Broi_Lica;Broi_Jil;Male;Female;Age0_14;Age15_24;Age25_34;Age35_44;Age45_54;Age55_64;AgeOver65;Educ1;Educ2;Educ3;Educ4;Educ5;Area_m2;X;Y
14;Лозенска планина;Панчарево;С.ЛОЗЕН;5.000000000000000;2.000000000000000;3.000000000000000;2.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;1.000000000000000;0.000000000000000;4.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;53,350,376.534500003000000;705,728.332291999950000;4,716,450.664309999900000
15;с. Железница;Панчарево;С.ЖЕЛЕЗНИЦА;1,580.000000000000000;803.000000000000000;791.000000000000000;789.000000000000000;157.000000000000000;161.000000000000000;242.000000000000000;232.000000000000000;196.000000000000000;271.000000000000000;321.000000000000000;23.000000000000000;485.000000000000000;101.000000000000000;3.000000000000000;7.000000000000000;1,746,836.385160000100000;694,741.008278000050000;4,712,470.534029999700000
16;в.з. Долни Пасарел;Панчарево;С.ДОЛНИ ПАСАРЕЛ;0.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;336,100.122536999990000;703,977.113306000010000;4,714,428.615210000400000
17;с. Кокаляне;Панчарево;С.КОКАЛЯНЕ;1,702.000000000000000;1,108.000000000000000;847.000000000000000;855.000000000000000;218.000000000000000;172.000000000000000;239.000000000000000;285.000000000000000;209.000000000000000;291.000000000000000;288.000000000000000;96.000000000000000;476.000000000000000;58.000000000000000;7.000000000000000;6.000000000000000;1,974,566.143940000100000;698,431.365700999970000;4,716,903.404230000500000
18;в.з. Кокаляне - Бачол;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;582,156.602491999980000;697,489.496318000020000;4,715,867.615849999700000
19;в.з. Кокаляне;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;469,679.181163000000000;698,726.886595000050000;4,716,137.008609999900000
20;с. Бистрица, ж.г. Планински гледки;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;253,066.589547000010000;693,025.568500999940000;4,716,262.039590000200000
21;Панчарево, в.з. Църнокос;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;194,901.461054000010000;696,711.463222000050000;4,717,020.955550000100000
22;в.з. Бистрица - Цонкина махала;Панчарево;С.БИСТРИЦА;247.000000000000000;464.000000000000000;124.000000000000000;123.000000000000000;34.000000000000000;18.000000000000000;37.000000000000000;36.000000000000000;34.000000000000000;52.000000000000000;36.000000000000000;24.000000000000000;38.000000000000000;0.000000000000000;0.000000000000000;3.000000000000000;1,526,404.687390000100000;692,972.170403999970000;4,716,761.910249999700000
23;с. Бистрица;Панчарево;С.БИСТРИЦА;3,655.000000000000000;1,916.000000000000000;1,795.000000000000000;1,860.000000000000000;480.000000000000000;328.000000000000000;538.000000000000000;550.000000000000000;476.000000000000000;560.000000000000000;723.000000000000000;180.000000000000000;994.000000000000000;116.000000000000000;22.000000000000000;19.000000000000000;1,693,885.799140000000000;693,645.121660999950000;4,717,491.351180000200000
24;с.Бистрица, м. Орешковица;Панчарево;С.КЛИСУРА;0.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;792,371.426112000020000;695,013.038436000000000;4,718,069.131480000000000
