,RegName,Rajon,NSettlemen,Broi_Lica,Broi_Jil,Male,Female,Age0_14,Age15_24,Age25_34,Age35_44,Age45_54,Age55_64,AgeOver65,Educ1,Educ2,Educ3,Educ4,Educ5,Area_m2,X,Y,geometry,centroid,subway_distance
0,Зона за отдих Шишмановски манастир,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652042.896044,716220.394138,4701658.88991,"POLYGON ((715034.4318182663 4701839.945472059, 714996.8618639386 4701864.588148549, 714988.5757175595 4701923.191827543, 715291.5716918032 4701917.241064196, 715577.7844009032 4701916.024480192, 716108.6078618821 4701948.806837896, 716294.8672039504 4701971.99323193, 716434.0888573944 4701947.920354742, 716633.0270162034 4701911.393869586, 716780.0266570798 4701866.592735014, 716847.9439946379 4701918.3225962, 716836.3495589036 4701995.484849771, 716846.1037826441 4702011.161977947, 716919.0153480169 4701979.071208966, 717015.539524195 4701943.201195427, 716943.3758235816 4701858.443444668, 716895.3075975041 4701812.260339725, 716702.5693754847 4701812.664088503, 716670.4734928414 4701729.704290709, 716706.6699154034 4701608.015299128, 716698.9610014162 4701605.481733433, 716707.876424032 4701597.18925448, 716686.7395858336 4701239.726915402, 716604.9511227065 4701240.949907054, 716154.9794095476 4701206.493363408, 716083.4429033933 4701250.092040509, 716006.0368708652 4701236.628009381, 715957.5164246977 4701264.71700556, 716033.5432361588 4701324.569201696, 716105.4848061622 4701415.912391976, 716032.3589883465 4701619.394351678, 716025.9888531868 4701617.325393917, 715911.7228995676 4701615.208639924, 715873.9054580971 4701669.125909111, 715841.3075119931 4701741.48224715, 715796.8114349215 4701772.085237519, 715719.7248108725 4701750.62582932, 715625.9097000703 4701745.645624205, 715492.8000769336 4701832.552073463, 715446.949985194 4701852.813864377, 715374.4253785734 4701807.807053136, 715316.0656509909 4701802.151574774, 715258.0305050265 4701826.861618619, 715194.2514010564 4701854.856343423, 715117.0623664184 4701852.913895062, 715086.8629188653 4701816.878954516, 715034.4318182663 4701839.945472059))",POINT (716220.3941380234 4701658.889909182),10.16052084326696
1,в.з. Татарски брод,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472283.522847,709933.138737,4701577.64692,"POLYGON ((709203.3610728008 4701360.132291261, 709297.0763225898 4701415.783816492, 709397.3660255072 4701472.017996734, 709481.5192614305 4701468.627223248, 709651.0868980782 4701502.621198623, 709967.1818979714 4701726.153796171, 710081.128995919 4701799.183409519, 710100.6661528697 4701857.727833246, 710228.9191175418 4701988.979085165, 710360.8284430064 4702066.555005761, 710472.7563942689 4702277.530015456, 710507.7582828047 4702206.761243919, 710470.3338582445 4702145.14010678, 710489.6340344781 4702059.106053973, 710508.0583580083 4701978.173374085, 710572.769440742 4701932.357975392, 710602.5622613018 4701901.20648117, 710682.6832768221 4701809.185835951, 710704.6406054805 4701769.531041002, 710647.0313089896 4701752.12816627, 710577.9881431179 4701735.151891916, 710538.7668276292 4701693.004674444, 710439.0666229778 4701701.620148722, 710361.7236615472 4701736.285108704, 710327.513999461 4701678.342797407, 710289.3944988397 4701511.859884737, 710196.6269012379 4701429.661413877, 710102.5032232738 4701425.194055614, 709563.2599744707 4701421.368202874, 709519.6226704537 4701337.673774467, 709516.1236153444 4701235.633121178, 709450.3494256528 4701166.668270512, 709455.5299015641 4701110.128499391, 709384.5020213911 4701021.613452066, 709351.2283798684 4701045.926850408, 709277.6372418138 4701119.713819515, 709209.6235069893 4701131.08289802, 709034.4466214781 4700877.803883321, 708997.2865630984 4700888.059491742, 709085.6248328998 4701159.012965919, 709160.1696232656 4701195.012540353, 709184.3813042878 4701265.991106406, 709203.3610728008 4701360.132291261))",POINT (709933.1387374651 4701577.646921773),9.739216596211186
2,"Панчарево, в.з.Лавандулите",Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452832.585534,711336.648877,4702378.7563,"POLYGON ((711198.1351710898 4701594.895463873, 711254.8795340459 4701771.554780211, 711323.7266315375 4701867.419759295, 711301.1654617633 4701983.860164619, 711260.7501210775 4702086.803877672, 711235.8439812136 4702208.467930427, 711187.401957298 4702322.689065085, 711104.6782087898 4702419.826902815, 711189.7280850611 4702529.825167847, 711171.1811860459 4702575.409581226, 711317.1625558194 4702555.676037252, 711166.7146410274 4702807.363005755, 711018.8367352346 4702892.557602166, 710857.4736764999 4702893.497591452, 710733.3160857465 4702849.538626045, 710721.9683918883 4702864.799459137, 710675.2236693973 4702883.172408771, 710581.2629679051 4702906.361171174, 710588.7781519856 4702944.595761145, 710656.2229153817 4702985.829521392, 710678.3366204496 4702974.311995121, 710794.8291188966 4702946.465631261, 710874.9450454599 4702981.722463273, 710956.9826557925 4703040.745517891, 711032.1063972147 4703059.533541465, 711132.8141502372 4703004.879024945, 711210.4197542535 4702918.644225209, 711447.3358878441 4702629.470599535, 711508.5632720627 4702581.046015194, 711615.1832853423 4702504.943395309, 711729.5896641266 4702452.323664233, 711781.7621773506 4702352.599570422, 711741.6910979828 4702250.272636416, 711713.5672908042 4702175.714948457, 711643.230669961 4702126.522865024, 711557.8851884869 4702082.634948622, 711517.1471862567 4701995.619234841, 711433.2211302164 4701776.79707954, 711351.7893089087 4701618.780030052, 711198.1351710898 4701594.895463873))",POINT (711336.6488773811 4702378.756299005),9.84982855128456
3,Манастир Св. Илия,Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140829.528662,715154.742684,4706242.95756,"POLYGON ((714898.4884883312 4706298.644218324, 714971.5323395019 4706423.070275348, 714998.9884382196 4706415.384355619, 715057.7477118324 4706441.425709959, 715081.3008006176 4706465.066882709, 715127.894482068 4706448.041587261, 715274.5917621637 4706395.503322388, 715368.191144068 4706363.676094606, 715336.3991662936 4706296.529284869, 715325.0228291553 4706154.985113561, 715356.6155613153 4706035.146424069, 715367.5518487014 4705997.513225633, 715171.2949734491 4706028.401973882, 715048.2907823368 4706120.015751008, 714965.1984306197 4706201.101060251, 714898.4884883312 4706298.644218324))",POINT (715154.7426835455 4706242.957558583),10.100480322914345
4,"Панчарево, в.з. Щъркелово гнездо",Панчарево,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055967.5244,709588.733528,4704445.84597,"POLYGON ((709646.5524479968 4705461.580363215, 709598.4784486025 4705306.537299031, 709629.8999660464 4705197.841918105, 709687.2421110293 4705079.308404773, 709722.7873985698 4704972.448739012, 709791.2271172703 4704886.696793946, 709939.1704143316 4704730.165438427, 709981.8026631095 4704638.191887611, 710099.0935330415 4704475.692637662, 710218.8940718406 4704289.41502717, 710266.0958175381 4704078.17049566, 710390.1454262343 4703869.704397641, 710476.610751382 4703640.444262967, 710483.7713297744 4703458.858747853, 710296.2660414819 4703100.842243675, 710197.7946377285 4702977.319778009, 710133.8360614589 4702896.63922932, 710028.0851192432 4702902.037830426, 709943.1272719713 4702844.294279249, 709979.6066924301 4702936.970229866, 710074.0262860445 4703001.785210481, 710198.3291972018 4703091.371325999, 710222.5387001822 4703222.353816502, 710211.4316275578 4703289.36892274, 710083.7075040593 4703361.471817146, 709993.9319526822 4703378.38318452, 709997.7230299434 4703438.162581043, 710071.6361055075 4703576.098604328, 710077.5421201721 4703681.637427668, 710031.169742797 4703733.638631084, 709916.9443945794 4703670.823421538, 709762.7435341044 4703739.940491069, 709584.6553352342 4703795.801099109, 709456.32667953 4703829.813194751, 709377.4277506026 4703869.986227265, 709345.365667586 4703995.878611554, 709274.0056479536 4704111.355573705, 709159.9166137545 4704164.543997135, 709048.2271711959 4704133.844767584, 708932.0708221798 4704107.91631489, 708833.9847087256 4704195.862091857, 708683.2559032727 4704258.854010009, 708683.843825606 4704296.267538356, 708684.961633091 4704326.072207684, 708682.8028616512 4704328.656936897, 708684.7722540855 4704347.81589528, 708757.9516150644 4704358.488092993, 708711.3186779374 4704476.729356232, 708737.7674556095 4704603.54934156, 708845.6270298925 4704668.399214798, 708907.5459367166 4704812.946006855, 708976.5216129113 4705077.722792216, 708943.0899082767 4705125.447459065, 708889.9261757573 4705247.801036596, 708896.1353180356 4705328.320999284, 709027.1212824481 4705352.167914034, 709126.7711981898 4705369.572449475, 709266.2605212124 4705374.835743478, 709356.7826826875 4705391.987576717, 709420.0696554186 4705488.042675146, 709457.2336352218 4705529.040234297, 709512.45629607 4705638.799250809, 709486.0741941002 4705754.627227019, 709443.8406534779 4705865.032188232, 709422.1856708981 4705938.842649448, 709448.3632310502 4705991.817965812, 709395.5800063487 4706053.308941325, 709336.687956 4706097.661204698, 709339.0894086428 4706150.295828847, 709477.6286868702 4706184.96849608, 709551.7708458027 4706149.712131469, 709568.4960702349 4706101.256584556, 709597.5340643614 4705976.87863006, 709533.6723794573 4705876.245356447, 709588.9408065302 4705693.270035032, 709640.3017416215 4705554.559988857, 709646.5524479968 4705461.580363215))",POINT (709588.7335280926 4704445.845973233),9.710095691548897
